id	parentId	type	text	options	target	signal
BRIDGE_2_3	A2_R_CONTRIB_STRONG	bridge	Now widen the lens — beyond actions, to impact. Who was affected by your day?		A3_OPEN	
BRIDGE_2_3B	A2_R_CONTRIB_BASE	bridge	Now widen the lens — beyond tasks, to impact. Who was affected?		A3_OPEN	
BRIDGE_2_3C	A2_R_ENTITLE	bridge	Now widen the lens — beyond expectations, to impact. Who was affected?		A3_OPEN	
A3_OPEN	BRIDGE_2_3	question	When you think about today’s most significant moment, who comes to mind first?	Only my work|My team|A specific colleague|The customer or end user		
A3_Q1	A3_OPEN	question	In that moment, how far did your thinking extend?	Only my responsibilities|Team impact|Helping someone specific|Final outcome or user impact		
A3_Q2	A3_Q1	question	Looking back, what perspective feels most accurate now?	It was mainly about my own work|It affected the team more than I thought|Someone else’s experience mattered|The larger outcome mattered more than I realized		
A3_D1	A3_Q2	decision		answer=Only my responsibilities|It was mainly about my own work:A3_R_SELF;answer=Team impact|It affected the team more than I thought:A3_R_TEAM;answer=Helping someone specific|Someone else’s experience mattered:A3_R_COLLEAGUE;answer=Final outcome or user impact|The larger outcome mattered more than I realized:A3_R_SYSTEM		
A3_R_SELF	A3_D1	reflection	Your focus stayed close to your own responsibilities. That’s where pressure concentrates — and sometimes why the day feels heavier.			axis3:self
A3_R_TEAM	A3_D1	reflection	You connected your work to your team’s experience. That shift distributes pressure and builds shared momentum.			axis3:team
A3_R_COLLEAGUE	A3_D1	reflection	You recognized someone else’s experience in your day. That’s where work becomes relational, not just task-driven.			axis3:other
A3_R_SYSTEM	A3_D1	reflection	You stepped back to see the broader impact. That perspective often brings clarity and meaning beyond immediate effort.			axis3:other
SUMMARY	A3_R_SELF	summary	Today you leaned {axis1.dominant} in how you handled control, {axis2.dominant} in contribution, and your focus was {axis3.dominant}. These patterns shape both outcomes and how your work feels over time.			
END	SUMMARY	end	That’s it for today. Carry this forward into tomorrow.					
